,id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeFoul,awayFoul,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homeGoalPrevented,awayGoalPrevented,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
0,11352251,9,4,2,2,2,0,,0,,,,0,,,0.32,0.28,0.48,0.03,84.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,9.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,442.0,80.0,401.0,47.0,15.0,20.0,8.0,6.0,10.0,1.0,3.0,0.0,6.0,5.0,3.0,1.0,64.0,51.0,21.0,21.0,6.0,7.0,9.0,8.0,0.0,5.0,2.0,10.0,42,14,2,2,0,1
2,11352255,8,4,8,1,4,0,,0,,,,0,,,1.3,0.57,0.89,0.6,56.0,4.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,7.0,9.0,14.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,0.0,263.0,202.0,213.0,164.0,25.0,21.0,7.0,10.0,4.0,10.0,2.0,2.0,5.0,4.0,3.0,2.0,62.0,65.0,26.0,15.0,2.0,3.0,11.0,3.0,5.0,6.0,7.0,8.0,39,40,2,5,1,1
4,11352250,5,5,4,0,0,1,,0,,,,0,,,0.08,0.74,0.1,0.78,66.0,2.0,2.0,1.0,7.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,7.0,15.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,288.0,143.0,244.0,102.0,31.0,23.0,13.0,6.0,7.0,10.0,0.0,4.0,10.0,11.0,3.0,6.0,78.0,72.0,24.0,43.0,6.0,15.0,10.0,16.0,3.0,2.0,6.0,12.0,60,37,0,1,0,1
6,11352253,11,6,3,2,4,1,,0,,,,0,,,2.13,0.04,0.72,0.11,30.0,5.0,0.0,3.0,1.0,2.0,0.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,9.0,7.0,3.0,5.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,147.0,352.0,115.0,309.0,25.0,22.0,12.0,13.0,8.0,4.0,3.0,0.0,5.0,3.0,4.0,1.0,55.0,63.0,14.0,14.0,1.0,5.0,7.0,3.0,5.0,0.0,7.0,10.0,48,43,0,0,0,1
8,11352252,1,2,1,1,0,0,,0,,,,0,,,1.37,0.43,1.09,0.57,71.0,3.0,1.0,8.0,3.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,10.0,5.0,6.0,8.0,2.0,1.0,1.0,1.0,10.0,4.0,1.0,2.0,0.0,0.0,321.0,126.0,287.0,89.0,21.0,35.0,13.0,16.0,16.0,13.0,5.0,4.0,6.0,3.0,2.0,1.0,63.0,59.0,20.0,21.0,9.0,9.0,5.0,8.0,4.0,8.0,5.0,16.0,30,72,1,4,0,1
10,11352303,1,17,2,0,2,0,,0,,,,0,,,0.26,0.78,0.1,0.8,27.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,8.0,2.0,5.0,0.0,2.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,142.0,402.0,105.0,359.0,22.0,30.0,10.0,16.0,2.0,6.0,1.0,2.0,6.0,5.0,2.0,2.0,54.0,62.0,21.0,21.0,6.0,7.0,8.0,7.0,4.0,2.0,6.0,2.0,6,17,0,0,2,3
11,11352254,5,6,2,0,2,0,,0,,,,0,,,0.12,0.55,0.11,0.26,33.0,1.0,3.0,2.0,5.0,1.0,6.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,9.0,9.0,17.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,1.0,0.0,0.0,127.0,266.0,74.0,214.0,34.0,22.0,5.0,9.0,8.0,11.0,3.0,2.0,5.0,6.0,2.0,4.0,78.0,89.0,29.0,41.0,10.0,20.0,10.0,8.0,5.0,2.0,20.0,5.0,15,7,0,0,0,1
13,11352309,1,2,3,0,0,1,,0,,,,0,,,1.73,0.7,0.78,0.96,34.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,4.0,11.0,8.0,4.0,3.0,3.0,1.0,2.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,171.0,342.0,129.0,306.0,31.0,12.0,12.0,4.0,7.0,8.0,2.0,1.0,6.0,11.0,4.0,6.0,63.0,58.0,30.0,24.0,8.0,8.0,9.0,7.0,3.0,9.0,10.0,10.0,50,33,2,2,2,2
15,11352316,4,8,8,1,6,5,,0,,,,0,,,0.83,0.86,0.72,0.49,66.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,3.0,12.0,9.0,4.0,5.0,3.0,1.0,2.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,332.0,176.0,285.0,142.0,28.0,21.0,13.0,11.0,13.0,3.0,5.0,1.0,9.0,9.0,6.0,4.0,82.0,61.0,28.0,22.0,6.0,3.0,8.0,12.0,3.0,2.0,5.0,16.0,38,44,1,1,1,1
16,11352327,12,4,4,3,0,0,,0,,,,0,,,0.68,0.28,0.37,0.23,62.0,1.0,0.0,2.0,1.0,5.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,9.0,5.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,291.0,181.0,249.0,143.0,20.0,25.0,9.0,14.0,8.0,2.0,2.0,2.0,10.0,17.0,7.0,11.0,73.0,63.0,22.0,36.0,1.0,7.0,8.0,9.0,4.0,9.0,3.0,9.0,35,3,0,1,0,0
